doc_id,item,category,amount,price,discount
KHTEIGC3,Отбеливатель 1л,Бытовая химия,4,2034.32,0
KHTEIGC3,Макароны из твёрдых сортов 400г,Продукты,3,129.14,0
KHTEIGC3,Полотенце вафельное,Текстиль,3,3901.18,0
KHTEIGC3,Мыло жидкое с дозатором,Косметика и гигиена,4,4758.15,69
KHTEIGC3,Батарейки AAA 4шт,Товары для дома,2,2507.65,60
KHTEIGC3,Полотенце вафельное,Текстиль,4,1248.58,37
KHTEIGC3,Батарейки AAA 4шт,Товары для дома,2,2887.36,65
L27PG36Y,Молоко 3.2% 1л,Продукты,3,4219.98,0
4WWAOQ9I,Макароны из твёрдых сортов 400г,Продукты,3,4965.78,45
4WWAOQ9I,Шампунь для волос 400мл,Косметика и гигиена,3,3117.75,0
4WWAOQ9I,Батарейки AAA 4шт,Товары для дома,2,3688.92,57
O637P7IX,Мыло жидкое с дозатором,Косметика и гигиена,2,788.21,0
O637P7IX,Скатерть льняная,Текстиль,2,1588.26,54
O637P7IX,Кастрюля нержавеющая сталь 4л,Посуда,1,3624.48,59
O637P7IX,Батарейки AAA 4шт,Товары для дома,3,257.67,77
OLMKOQ1X,Скатерть льняная,Текстиль,3,2389.84,64
OLMKOQ1X,Полотенце вафельное,Текстиль,4,4804.87,67
OLMKOQ1X,Стиральный порошок 3кг,Бытовая химия,4,4756.02,0
HMNKG1LG,Шампунь для волос 400мл,Косметика и гигиена,1,597.06,55
HMNKG1LG,Яблоки свежие 1кг,Продукты,4,581.86,61
2DPHO8KH,Кружка керамическая 300мл,Посуда,2,2935.66,0
2DPHO8KH,Средство для мытья посуды 500мл,Бытовая химия,2,3588.71,62
2DPHO8KH,Набор кухонных полотенец,Текстиль,2,4888.67,66
2DPHO8KH,Хлеб ржаной,Продукты,2,4037.62,35
2DPHO8KH,Зубная паста 100мл,Косметика и гигиена,4,3724.42,32
2DPHO8KH,Скатерть льняная,Текстиль,4,345.15,38
